Getting runtime scan results...
Found 1000 runtime scan results

Created At   Result ID           AWS Account          Resource Type Resource Name                  Crit High Medium Low 
----------------------------------------------------------------------------------------------------------------------------------
             18692b5904da05cf...                      Host         ip-10-3-3-201.ap-northeast-1.compute.internal 0    1220 314    3   
             1869499e5056f801... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             1869183998c11eab... prd-loglass          ECS          loglass-batch-prd-cluster/log-router 0    160  264    47  
             18693e54650c3178... dem-loglass          ECS          loglass-batch-dem-cluster/log-router 0    160  264    47  
             18693586fe6d4abd... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             1869358819b7c686... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             18693593a2b29d78... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             186934a7a1764138... dem-loglass          ECS          loglass-worker-dem-cluster/log-router 0    160  264    47  
             186935878eb43401... prd-loglass          ECS          loglass-admin-api-prd-api-cluster/log-router 0    160  264    47  
             186936279e11d49f... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             1869359771f786b6... prd-loglass          ECS          loglass-worker-prd-cluster/log-router 0    160  264    47  
             1869479e43fb95b7... stg-loglass          ECS          loglass-api-stg-api-cluster/log-router 0    160  264    47  
             1869359cd6e7000b... prd-loglass          ECS          loglass-worker-prd-cluster/log-router 0    160  264    47  
             1869358740e66f91... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             1869359e951b3971... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             18693583b8c53960... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             186934a33158617b... dem-loglass          ECS          loglass-api-dem-api-cluster/log-router 0    160  264    47  
             186934a32ea87a66... dem-loglass          ECS          loglass-api-dem-api-cluster/log-router 0    160  264    47  
             186934b5317707cf... dem-loglass          ECS          loglass-api-dem-api-cluster/log-router 0    160  264    47  
             18693a44a0c908ee... stg-loglass          ECS          loglass-api-stg-api-cluster/log-router 0    160  264    47  
             186934ba86c7bee0... dem-loglass          ECS          loglass-admin-api-dem-api-cluster/log-router 0    160  264    47  
             186934fad9fac846... dem-loglass          ECS          loglass-api-dem-api-cluster/log-router 0    160  264    47  
             186934a7707125ba... dem-loglass          ECS          loglass-worker-dem-cluster/log-router 0    160  264    47  
             18693599c56e6555... prd-loglass          ECS          loglass-api-prd-api-cluster/log-router 0    160  264    47  
             18691460b4deebda...                      Host         ip-10-0-2-156.ap-northeast-1.compute.internal 0    129  7      1   
             186946c2b6dee6bf...                      Host         ip-10-1-2-122.loglass.internal 0    108  0      0   
             186930e995cf10f3...                      Host         ip-10-1-2-122.ap-northeast-1.compute.internal 0    104  0      0   
             18693192c2a68d65... stg-loglass          ECS          demoglass-extra-testc-cluster/datadog-agent 0    47   114    29  
             186934babf4d1bff... dem-loglass          ECS          loglass-api-dem-api-cluster/datadog-agent 0    47   114    29  
             186931e23e48779e... stg-loglass          ECS          demoglass-extra-testc-cluster/datadog-agent 0    47   114    29  
             1869322edf997a4d... stg-loglass          ECS          loglass-admin-api-stg-api-cluster/datadog-agent 0    47   114    29  
             186934a41b33cf46... dem-loglass          ECS          loglass-api-dem-api-cluster/datadog-agent 0    47   114    29  
             186931b8467d09e3... stg-loglass          ECS          demoglass-extra-testb-cluster/datadog-agent 0    47   114    29  
             1869487ba5bb3f5a... stg-loglass          ECS          demoglass-extra-testb-cluster/datadog-agent 0    47   114    29  
             1869492298531112... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    47   114    29  
             186949a5e63f3184... stg-loglass          ECS          demoglass-extra-testb-cluster/datadog-agent 0    47   114    29  
             18693d6034250634... stg-loglass          ECS          loglass-admin-api-stg-api-cluster/datadog-agent 0    47   114    29  
             186935d264386d55... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    47   114    29  
             1869318da44bc8a0... stg-loglass          ECS          demoglass-extra-testb-cluster/datadog-agent 0    47   114    29  
             1869482bf878176a... stg-loglass          ECS          loglass-api-stg-api-cluster/datadog-agent 0    47   114    29  
             1869359231ff8351... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    47   114    29  
             18693592336fa252... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    47   114    29  
             186935874d110253... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    47   114    29  
             186931e321ae4ac3... stg-loglass          ECS          demoglass-extra-testb-cluster/datadog-agent 0    47   114    29  
             186934a90582aa04... dem-loglass          ECS          loglass-admin-api-dem-api-cluster/datadog-agent 0    47   114    29  
             186931b9f14e5125... stg-loglass          ECS          demoglass-extra-testc-cluster/datadog-agent 0    47   114    29  
             186947e59ac99349... stg-loglass          ECS          loglass-api-stg-api-cluster/datadog-agent 0    47   114    29  
             1869362f401ade06... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    47   114    29  
             186935893b8089e8... prd-loglass          ECS          loglass-worker-prd-cluster/datadog-agent 0    47   114    29  
             18694a7d9c9e95bf... stg-loglass          ECS          loglass-api-stg-api-cluster/datadog-agent 0    47   114    29  
             186947f5a7d4b582... stg-loglass          ECS          loglass-worker-stg-cluster/datadog-agent 0    47   114    29  
             18694952bdfeb9f7... stg-loglass          ECS          demoglass-extra-testc-cluster/datadog-agent 0    47   114    29  
             186934b52fab57bb... dem-loglass          ECS          loglass-api-dem-api-cluster/datadog-agent 0    47   114    29  
             186932050b8590f7... stg-loglass          ECS          loglass-api-stg-api-cluster/datadog-agent 0    47   114    29  
             186934b359cbcb25... dem-loglass          ECS          loglass-worker-dem-cluster/datadog-agent 0    47   114    29  
             186931b63925afb8... stg-loglass          ECS          loglass-worker-stg-cluster/datadog-agent 0    47   114    29  
             186935874bdc74d8... prd-loglass          ECS          loglass-admin-api-prd-api-cluster/datadog-agent 0    47   114    29  
             186931c866d66317... stg-loglass          ECS          loglass-api-stg-api-cluster/datadog-agent 0    47   114    29  
             1869358707f10e24... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    47   114    29  
             18694796ab4417bc... stg-loglass          ECS          demoglass-extra-testc-cluster/datadog-agent 0    47   114    29  
             186935908906f5bc... prd-loglass          ECS          loglass-worker-prd-cluster/datadog-agent 0    47   114    29  
             1869482797f8fc3e... stg-loglass          ECS          demoglass-extra-testb-cluster/datadog-agent 0    47   114    29  
             186934a9260ed44c... dem-loglass          ECS          loglass-worker-dem-cluster/datadog-agent 0    47   114    29  
             18694a3dd7df22a9... stg-loglass          ECS          demoglass-extra-testc-cluster/datadog-agent 0    47   114    29  
             1869320a722bb2b9... stg-loglass          ECS          loglass-api-stg-api-cluster/datadog-agent 0    45   98     26  
             18693e457eacdbc9... dem-loglass          ECS          loglass-batch-dem-cluster/datadog-agent 0    45   98     26  
             18693177b2575920... prd-loglass          ECS          loglass-batch-prd-cluster/datadog-agent 0    45   98     26  
             186935908c73bb5c... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    45   98     26  
             186934f1f6500cd1... dem-loglass          ECS          loglass-api-dem-api-cluster/datadog-agent 0    45   98     26  
             186935908e5572e1... prd-loglass          ECS          loglass-api-prd-api-cluster/datadog-agent 0    45   98     26  
             18694911919bb6b5... stg-loglass          ECS          loglass-api-stg-api-cluster/datadog-agent 0    45   98     26  
             186931930f853913... prd-asm              ECS          prd-asm-backend-cluster/datadog-agent 0    32   101    23  
             186931fd8dfdcc49... prd-asm              ECS          prd-asm-backend-cluster/datadog-agent 0    32   101    23  
             1869318786258523... prd-asm              ECS          prd-asm-backend-cluster/datadog-agent 0    32   101    23  
             18693e8d0e1d7db2... dev-asm              ECS          dev-asm-backend-cluster/datadog-agent 0    32   101    23  
             18694469e638645d... prd-platform         ECS          prd-platform/datadog-agent     0    32   91     18  
             18694427ce9c22a7... dev-platform         ECS          dev-platform/datadog-agent     0    32   91     18  
             18693191d0d8cca2... prd-capex            ECS          prd-capex-backend-cluster/datadog-agent 0    32   91     18  
             1869433d3e0182ca... sales-platform       ECS          sales-platform/datadog-agent   0    32   91     18  
             1869319e86b0ac29... prd-platform         ECS          prd-platform/datadog-agent     0    32   91     18  
             186944701d121ee6... prd-platform         ECS          prd-platform/datadog-agent     0    32   91     18  
             18693177c0a59e61... dev-capex            ECS          dev-capex-backend-cluster/datadog-agent 0    32   91     18  
             1869441badd8558f... dev-platform         ECS          dev-platform/datadog-agent     0    32   91     18  
             18691edbb9903b99... dev-capex            ECS          dev-capex-backend-cluster/datadog-agent 0    32   91     18  
             1869318486191dbd... sales-platform       ECS          sales-platform/datadog-agent   0    32   91     18  
